query_key,category,scenario,endpoint,symbol_type,indicator_id,req_unique_id,attrs_json,time_range_json,template,periods,metric_name,english_name,description,aliases,is_interval_metric,period_values_json,exchange,access_guide
forecast_eps_quarter|预测每股收益(单季度)|Consensus EPS (Quarter),security,metric_lookup,series,market_code,forecast_eps_quarter,forecast_eps_quarter,"{""time_period"":{""children"":null,""default"":""quarter"",""enum_options"":[{""label"":""quarter"",""value"":""quarter""}],""example"":""quarter"",""name"":""time_period"",""query_type"":""enum"",""required"":""1"",""source"":""table""}}","{""type"":""begin_end"",""begin_time"":1783296000000,""end_time"":0,""time_period"":""quarter""}",series-etf-30d.json,quarter,预测每股收益(单季度),Consensus EPS (Quarter),EPS（每股收益）是指公司每股普通股票的盈利。财务预测EPS平均值是指分析师或机构对公司未来某个时间段内每股收益的平均预期值。这个值通常是基于公司过去的财务表现、行业趋势、经济环境等因素进行估算的。,,false,"[""quarter""]","UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SERIES_TIME_RANGE_BEGIN_END
fund_manage_scale_yoy|基金管理规模增速(月度)|AUM Growth Rate (Monthly) %,security,metric_lookup,snapshot,market_code,fund_manage_scale_yoy,fund_manage_scale_yoy,{},{},stock-detail.json,snapshot,基金管理规模增速(月度),AUM Growth Rate (Monthly) %,指在一个月的时间内，基金规模的增长速度。它反映了基金在特定时期内的规模变化情况，通常以百分比形式呈现。,,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SNAPSHOT
loans_v2|借款(新体系)|Borrowings,security,metric_lookup,series,market_code,loans_v2,loans_v2,{},"{""type"":""begin_end"",""begin_time"":1783296000000,""end_time"":0,""time_period"":""quarter_1""}",series-etf-30d.json,snapshot;quarter_1,借款(新体系),Borrowings,"【新体系】 新规划的三大财务报表体系，区别于老体系，部分指标可能出现重叠，由于新体系指标数据还不全，因此未直接替换老体系指标，只应用于部分产品场景，使用需谨慎。
【指标说明】指企业或个人从外部筹集资金的一种负债行为",,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F","STANDARD_SNAPSHOT,STANDARD_SERIES_TIME_RANGE_BEGIN_END"
capital_reserve_v2|资本公积(新体系)|Additional Paid in Capital,security,metric_lookup,series,market_code,capital_reserve_v2,capital_reserve_v2,{},"{""type"":""begin_end"",""begin_time"":1783296000000,""end_time"":0,""time_period"":""quarter_1""}",series-etf-30d.json,snapshot;quarter_1,资本公积(新体系),Additional Paid in Capital,"【新体系】 新规划的三大财务报表体系，区别于老体系，部分指标可能出现重叠，由于新体系指标数据还不全，因此未直接替换老体系指标，只应用于部分产品场景，使用需谨慎。
【指标说明】资本公积是指企业在经营过程中由于接受捐赠、股本溢价以及法定财产重估增值等原因所形成的公积金。资本公积是与企业收益无关而与资本相关的贷项。资本公积是指投资者或者他人投入到企业、所有权归属于投资者、并且投入金额上超过法定资本部分的资本。",,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F","STANDARD_SNAPSHOT,STANDARD_SERIES_TIME_RANGE_BEGIN_END"
long_term_debt_v2|长期债务(新体系)|Long-Term Debt,security,metric_lookup,series,market_code,long_term_debt_v2,long_term_debt_v2,{},"{""type"":""begin_end"",""begin_time"":1783296000000,""end_time"":0,""time_period"":""quarter_1""}",series-etf-30d.json,snapshot;quarter_1,长期债务(新体系),Long-Term Debt,"【新体系】 新规划的三大财务报表体系，区别于老体系，部分指标可能出现重叠，由于新体系指标数据还不全，因此未直接替换老体系指标，只应用于部分产品场景，使用需谨慎。
【指标说明】指企业或个人在一年以上（不含一年）或超过一个正常经营周期后才需要偿还的债务。长期债务通常用于支持企业的长期投资或资本支出，如购买固定资产、进行长期项目开发或扩展业务规模。",,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F","STANDARD_SNAPSHOT,STANDARD_SERIES_TIME_RANGE_BEGIN_END"
short_term_debt_v2|短期债务(新体系)|Short-Term Debt,security,metric_lookup,series,market_code,short_term_debt_v2,short_term_debt_v2,{},"{""type"":""begin_end"",""begin_time"":1783296000000,""end_time"":0,""time_period"":""quarter_1""}",series-etf-30d.json,snapshot;quarter_1,短期债务(新体系),Short-Term Debt,"【新体系】 新规划的三大财务报表体系，区别于老体系，部分指标可能出现重叠，由于新体系指标数据还不全，因此未直接替换老体系指标，只应用于部分产品场景，使用需谨慎。
【指标说明】指企业或个人在一年内（或一个经营周期内，如果经营周期超过一年）需要偿还的债务。它通常包括短期借款、应付账款、应付票据、短期融资券等。短期债务是企业财务报表中的一个重要组成部分，反映了企业在短期内的偿债压力和流动性状况。",,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F","STANDARD_SNAPSHOT,STANDARD_SERIES_TIME_RANGE_BEGIN_END"
long_term_investments_v2|长期投资(新体系)|Long-Term Investments,security,metric_lookup,series,market_code,long_term_investments_v2,long_term_investments_v2,{},"{""type"":""begin_end"",""begin_time"":1783296000000,""end_time"":0,""time_period"":""quarter_1""}",series-etf-30d.json,snapshot;quarter_1,长期投资(新体系),Long-Term Investments,"【新体系】 新规划的三大财务报表体系，区别于老体系，部分指标可能出现重叠，由于新体系指标数据还不全，因此未直接替换老体系指标，只应用于部分产品场景，使用需谨慎。
【指标说明】指企业为了获取长期收益或实现战略目标而持有的投资，通常包括权益性投资、债权性投资以及其他形式的长期资产配置。长期投资的期限一般超过一年，其目的是通过投资获取稳定的收益、资本增值或实现其他战略目标。",,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F","STANDARD_SNAPSHOT,STANDARD_SERIES_TIME_RANGE_BEGIN_END"
short_term_investments_v2|短期投资(新体系)|Short-Term Investments,security,metric_lookup,series,market_code,short_term_investments_v2,short_term_investments_v2,{},"{""type"":""begin_end"",""begin_time"":1783296000000,""end_time"":0,""time_period"":""quarter_1""}",series-etf-30d.json,snapshot;quarter_1,短期投资(新体系),Short-Term Investments,"【新体系】 新规划的三大财务报表体系，区别于老体系，部分指标可能出现重叠，由于新体系指标数据还不全，因此未直接替换老体系指标，只应用于部分产品场景，使用需谨慎。
【指标说明】指企业或个人为了获取收益或实现其他财务目标，将资金投入于期限较短的金融资产中。其主要特点是投资期限较短，通常不超过一年，但也可以根据具体情况进行适当延长",,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F","STANDARD_SNAPSHOT,STANDARD_SERIES_TIME_RANGE_BEGIN_END"
contract_debt_change_v2|合同负债变动(新体系)|Change in Contract Liabilities,security,metric_lookup,series,market_code,contract_debt_change_v2,contract_debt_change_v2,{},"{""type"":""begin_end"",""begin_time"":1783296000000,""end_time"":0,""time_period"":""quarter_1""}",series-etf-30d.json,snapshot;quarter_1,合同负债变动(新体系),Change in Contract Liabilities,"【新体系】 新规划的三大财务报表体系，区别于老体系，部分指标可能出现重叠，由于新体系指标数据还不全，因此未直接替换老体系指标，只应用于部分产品场景，使用需谨慎。
【指标说明】合同负债变动是指企业在一定时期内，合同负债金额的变化情况。合同负债是指企业已收或应收客户对价而应向客户转让商品或提供服务的义务。",,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F","STANDARD_SNAPSHOT,STANDARD_SERIES_TIME_RANGE_BEGIN_END"
other_financing_cash_flow_net_v2|其他筹资活动现金流量净额(新体系)|Other Financing Activities,security,metric_lookup,series,market_code,other_financing_cash_flow_net_v2,other_financing_cash_flow_net_v2,{},"{""type"":""begin_end"",""begin_time"":1783296000000,""end_time"":0,""time_period"":""quarter_1""}",series-etf-30d.json,snapshot;quarter_1,其他筹资活动现金流量净额(新体系),Other Financing Activities,"【新体系】 新规划的三大财务报表体系，区别于老体系，部分指标可能出现重叠，由于新体系指标数据还不全，因此未直接替换老体系指标，只应用于部分产品场景，使用需谨慎。<br>
【指标说明】""其他筹资活动现金流量净额""是指在筹资活动中，除了主要的筹资活动现金流入和流出项目之外的其他项目所产生的现金流量净额。",,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F","STANDARD_SNAPSHOT,STANDARD_SERIES_TIME_RANGE_BEGIN_END"
investment_change_v2|投资变动(新体系)|Change in Investments,security,metric_lookup,series,market_code,investment_change_v2,investment_change_v2,{},"{""type"":""begin_end"",""begin_time"":1783296000000,""end_time"":0,""time_period"":""quarter_1""}",series-etf-30d.json,snapshot;quarter_1,投资变动(新体系),Change in Investments,"【新体系】 新规划的三大财务报表体系，区别于老体系，部分指标可能出现重叠，由于新体系指标数据还不全，因此未直接替换老体系指标，只应用于部分产品场景，使用需谨慎。<br>
【指标说明】投资变动通常指的是企业在一定时期内对其所持有的投资项目的价值、结构或持有量进行的调整或变化。",,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F","STANDARD_SNAPSHOT,STANDARD_SERIES_TIME_RANGE_BEGIN_END"
accounts_receivable_change_v2|应收账款变动(新体系)|Change in Accounts Receivable,security,metric_lookup,series,market_code,accounts_receivable_change_v2,accounts_receivable_change_v2,{},"{""type"":""begin_end"",""begin_time"":1783296000000,""end_time"":0,""time_period"":""quarter_1""}",series-etf-30d.json,snapshot;quarter_1,应收账款变动(新体系),Change in Accounts Receivable,"【新体系】 新规划的三大财务报表体系，区别于老体系，部分指标可能出现重叠，由于新体系指标数据还不全，因此未直接替换老体系指标，只应用于部分产品场景，使用需谨慎。<br>
【指标说明】应收账款变动指的是企业在一定时期内应收账款的增减变化情况。",,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F","STANDARD_SNAPSHOT,STANDARD_SERIES_TIME_RANGE_BEGIN_END"
inventory_change_v2|存货变动(新体系)|Change in Inventories,security,metric_lookup,series,market_code,inventory_change_v2,inventory_change_v2,{},"{""type"":""begin_end"",""begin_time"":1783296000000,""end_time"":0,""time_period"":""quarter_1""}",series-etf-30d.json,snapshot;quarter_1,存货变动(新体系),Change in Inventories,"【新体系】 新规划的三大财务报表体系，区别于老体系，部分指标可能出现重叠，由于新体系指标数据还不全，因此未直接替换老体系指标，只应用于部分产品场景，使用需谨慎。<br>
【指标说明】存货变动指的是企业在一定时期内存货数量和价值的变化。存货是企业在日常经营过程中持有以备出售的商品或原材料，包括成品、在制品、半成品、原材料等。存货变动反映了企业在特定时期内存货的增减情况，这对于企业的财务健康和运营效率至关重要。",,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F","STANDARD_SNAPSHOT,STANDARD_SERIES_TIME_RANGE_BEGIN_END"
gross_profit_ttm|毛利润(TTM)|Gross Earnings (TTM),security,metric_lookup,series,market_code,gross_profit_ttm,gross_profit_ttm,{},"{""type"":""begin_end"",""begin_time"":1783296000000,""end_time"":0,""time_period"":""quarter_1""}",series-etf-30d.json,snapshot;quarter_1,毛利润(TTM),Gross Earnings (TTM),毛利润TTM，是指企业在过去12个月，通过销售产品或提供服务所获得的收入与生产或采购这些产品、服务的成本之间的差额。它反映了企业在生产和销售过程中创造的价值。,,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F","STANDARD_SNAPSHOT,STANDARD_SERIES_TIME_RANGE_BEGIN_END"
financial_actual_disclose_date|财报实际披露日期|Actual Earnings Release Date,security,metric_lookup,snapshot,market_code,financial_actual_disclose_date,financial_actual_disclose_date,{},{},stock-detail.json,snapshot;quarter,财报实际披露日期,Actual Earnings Release Date,上市公司发布财务的实际日期,,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SNAPSHOT
financial_appoint_disclose_date|财报预约披露日期|Expected Earnings Release Date,security,metric_lookup,snapshot,market_code,financial_appoint_disclose_date,financial_appoint_disclose_date,{},{},stock-detail.json,snapshot;quarter,财报预约披露日期,Expected Earnings Release Date,上市公司提前披露的发布财报的日期,,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SNAPSHOT
total_assets_net_ratio_latest|总资产收益率(最新)|total assets net ratio latest,security,metric_lookup,snapshot,market_code,total_assets_net_ratio_latest,total_assets_net_ratio_latest,{},{},stock-detail.json,snapshot,总资产收益率(最新),total assets net ratio latest,"总资产收益率（Return on Total Assets，ROTA）是一种用于衡量企业经营效率和资产利用率的财务指标。它指的是企业净利润与总资产的比率。
ROTA用于衡量企业资产的利润能力，反映企业在不考虑负债的情况下，利用所有资产创造收益的能力。ROTA计算公式为：净利润/总资产。其中，“净利润”是企业扣除各种费用及税收后的收益，“总资产”是公司所有的资产，包括流动资产、固定资产、无形资产和其他长期资产等。
ROTA指标高意味着企业能够有效地利用其资产来创造利润，是一种有效的度量企业经营效率的指标。通常来说，ROTA越高则说明企业经营效率越高，资产的利用也更加充分。但是对于行业、公司规模等因素的不同，ROTA的合理范围也会有所不同，需要进行比较与分析。因此，ROTA也要结合其他财务指标和经营环境一起考虑，才能更准确地评估企业的经营业绩。",,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SNAPSHOT
bond_remainder|债券余额|Outstanding Amount,security,metric_lookup,snapshot,market_code,bond_remainder,bond_remainder,{},{},stock-detail.json,snapshot;quarter,债券余额,Outstanding Amount,债券余额是指在某一特定时间点上，尚未偿付的债券本金的金额。当一个债券发行时，债券的本金被划分为若干个等额的利息支付和本金偿还期限，每当偿付期限到来，债券发行方将支付相应的利息和偿还部分本金。债券余额是指在还未到期的债券期限内，剩余的尚未偿还的本金金额。,,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SNAPSHOT
bond_ratio|债券利率|Coupon Rate,security,metric_lookup,snapshot,market_code,bond_ratio,bond_ratio,{},{},stock-detail.json,snapshot;quarter,债券利率,Coupon Rate,债券利率指的是债券发行方向债券持有者支付的利息比率。它是债券发行时约定的一种固定或可变的报酬，表示投资者在持有债券期间可以获得的利息收入。,,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SNAPSHOT
start_interest_date|起息日|Issue Date,security,metric_lookup,snapshot,market_code,start_interest_date,start_interest_date,{},{},stock-detail.json,snapshot,起息日,Issue Date,债券起息日（Issue Date）是指债券开始计算利息的日期，也是债券开始生效的日期。它是债券发行时确定的一个重要日期。,,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SNAPSHOT
end_interest_date|到期日|Maturity Date,security,metric_lookup,snapshot,market_code,end_interest_date,end_interest_date,{},{},stock-detail.json,snapshot,到期日,Maturity Date,债券到期日（Maturity Date）是指债券的最后一天，也是债券的有效期结束日期。在这一天，债券发行人将向债券持有人（投资者）支付债券的面值（或票面价值），并解除债券的义务。,,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SNAPSHOT
interest_rate_type_code|利率类别编码|Coupon Type,security,metric_lookup,snapshot,market_code,interest_rate_type_code,interest_rate_type_code,{},{},stock-detail.json,snapshot,利率类别编码,Coupon Type,"指标定义：利率类别编码是指用于区分不同类型利率的编码系统。
    指标描述：利率类别编码有助于标准化和分类不同的利率产品，如固定利率、浮动利率等。
    计算公式：无，通常由金融机构或监管机构制定。
    适用场景：用于金融产品分类、利率风险管理和金融监管。",,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SNAPSHOT
payment_frequency|付息频率|Coupon Frequency,security,metric_lookup,snapshot,market_code,payment_frequency,payment_frequency,{},{},stock-detail.json,snapshot,付息频率,Coupon Frequency,付息频率是指债券或其他固定收益证券向投资者支付利息的时间间隔。,,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SNAPSHOT
"ebitda_ttm|息税前折旧摊销前利润EBITDA(TTM)|Earnings Before Interest, Taxes, Depreciation and Amortization (TTM)",security,metric_lookup,series,market_code,ebitda_ttm,ebitda_ttm,{},"{""type"":""begin_end"",""begin_time"":1783296000000,""end_time"":0,""time_period"":""quarter_1""}",series-etf-30d.json,snapshot;quarter_1,息税前折旧摊销前利润EBITDA(TTM),"Earnings Before Interest, Taxes, Depreciation and Amortization (TTM)","EBTIDA(TTM) 是指""Trailing Twelve Months""的缩写，表示企业最近12个月内不包括当期的EBTIDA。这个指标用于提供一个更长期的视角来评估企业的财务表现。
通常情况下，企业的财务报表是根据会计周期准备的，如每季度或每年。然而，EBTIDA(TTM)将过去12个月的数据进行累积，以消除季度或年度波动对数据的影响，并提供一个更全面和稳定的财务表现。
计算EBTIDA(TTM)时，需要将过去12个月的连续季度或年度EBTIDA值加总。例如，如果今天是2023年的12月28日，那么EBTIDA(TTM)就是从2022年12月29日到2023年12月28日的EBTIDA总和。
EBTIDA(TTM)是一种常用的财务指标，可以用来观察企业在较长时间周期内的经营状况和盈利能力，帮助评估企业的财务稳定性和可持续性。不包括当期的EBTIDA可以排除短期波动对财务指标的影响，提供更全面的分析依据。",,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F","STANDARD_SNAPSHOT,STANDARD_SERIES_TIME_RANGE_BEGIN_END"
per_share_dividend_ttm|每股分红(TTM)|Cash Dividend Per Share (TTM),security,metric_lookup,snapshot,market_code,per_share_dividend_ttm,per_share_dividend_ttm,{},{},stock-detail.json,snapshot;quarter,每股分红(TTM),Cash Dividend Per Share (TTM),"每股分红TTM是指公司在最近12个月（Trailing Twelve Months，简称TTM）内每股分红的总额。它是一个财务指标，用于衡量公司在过去一年内向股东发放的每股分红金额。

每股分红TTM是通过将公司在过去12个月内发放的所有分红总额除以总发行股数得出的。这个指标可以帮助投资者寻找公司的分红政策和股东回报情况。较高的每股分红TTM意味着公司在过去一年内向股东派发了较多的利润，可能是积极的股东回报政策的体现。相反，较低的每股分红TTM可能意味着公司在分配利润方面较为保守或者有其他投资计划。",,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SNAPSHOT
per_share_dividend_ttm|每股分红(TTM)|Cash Dividend Per Share (TTM),security,metric_lookup,snapshot,market_code,per_share_dividend_ttm,per_share_dividend_ttm,{},{},stock-detail.json,snapshot;quarter,每股分红(TTM),Cash Dividend Per Share (TTM),"每股分红TTM是指公司在最近12个月（Trailing Twelve Months，简称TTM）内每股分红的总额。它是一个财务指标，用于衡量公司在过去一年内向股东发放的每股分红金额。

每股分红TTM是通过将公司在过去12个月内发放的所有分红总额除以总发行股数得出的。这个指标可以帮助投资者寻找公司的分红政策和股东回报情况。较高的每股分红TTM意味着公司在过去一年内向股东派发了较多的利润，可能是积极的股东回报政策的体现。相反，较低的每股分红TTM可能意味着公司在分配利润方面较为保守或者有其他投资计划。",,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SNAPSHOT
operating_income_total_ttm|营业总收入(TTM)|Revenue (TTM),security,metric_lookup,series,market_code,operating_income_total_ttm,operating_income_total_ttm,{},"{""type"":""begin_end"",""begin_time"":1783296000000,""end_time"":0,""time_period"":""quarter_1""}",series-etf-30d.json,snapshot;quarter_1,营业总收入(TTM),Revenue (TTM),营业总收入TTM指的是一个公司在过去12个月（Trailing Twelve Months，简称TTM）内的总收入。它是一种财务指标，用于衡量公司在最近一年内实现的所有业务活动所带来的总收入。,,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F","STANDARD_SNAPSHOT,STANDARD_SERIES_TIME_RANGE_BEGIN_END"
actual_issuance_price|实际发行价格|Actual IPO Price,security,metric_lookup,snapshot,market_code,actual_issuance_price,actual_issuance_price,{},{},stock-detail.json,snapshot,实际发行价格,Actual IPO Price,港股：取自 ifind数据库 hk139.f006n_hk139,,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SNAPSHOT
parent_holder_net_profit_ttm|归母净利润(TTM)|Net Income Attributable to Common Shareholders (TTM),security,metric_lookup,series,market_code,parent_holder_net_profit_ttm,parent_holder_net_profit_ttm,{},"{""type"":""begin_end"",""begin_time"":1783296000000,""end_time"":0,""time_period"":""quarter_1""}",series-etf-30d.json,snapshot;quarter_1,归母净利润(TTM),Net Income Attributable to Common Shareholders (TTM),归母净利润 TTM（Trailing Twelve Months）是指过去连续12个月内公司的归属于母公司股东的净利润总额。,,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F","STANDARD_SNAPSHOT,STANDARD_SERIES_TIME_RANGE_BEGIN_END"
operating_income_ttm|营业收入(TTM)|Revenue (TTM),security,metric_lookup,snapshot,market_code,operating_income_ttm,operating_income_ttm,{},{},stock-detail.json,snapshot;quarter,营业收入(TTM),Revenue (TTM),营业收入 TTM（Trailing Twelve Months）是指过去连续12个月内公司的营业收入总额。它是一种财务指标，用于衡量公司在最近的12个月内实现的总收入。,,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SNAPSHOT
per_net_assets_latest|每股净资产(最新)|Net Assets per Share (Latest),security,metric_lookup,snapshot,market_code,per_net_assets_latest,per_net_assets_latest,{},{},stock-detail.json,snapshot;quarter,每股净资产(最新),Net Assets per Share (Latest),"每股净资产=[归属于母公司股东权益(F079N_USK127)-优先股（F072N_USK127）]／报告期末总股本（F001N_USK037），优先股为空时当0处理。
此处需要对报告期末总股本进行修正，需要对比股本变动时间与每次拆股除权日期的先后关系，如果股本变动时间<除权日期，则股本需要乘以此次拆股记录的[拆分分子/拆分分母]",,false,[],"UUS,UDC,UBAX,UBAF,U31X,U31F,U32X,U32F",STANDARD_SNAPSHOT
